,word,version,vid
1354,bored,2,7
1355,unsure,2,7
1356,distressed,2,7
1357,inquisitive,2,7
1358,responsibility,2,7
1359,unhappy,2,7
1360,sadness,2,7
1361,optimistic,2,7
1362,peaceful,2,7
1363,let-down,2,7
1364,determined,2,7
1365,curious,2,7
1366,interested,2,7
1367,sad,2,7
1368,sympathetic,2,7
1369,sad,2,7
1370,amused,2,7
1371,interested,2,7
1372,pity,2,7
1373,happy,2,7
1374,bored,2,7
1375,concerned,2,7
1376,sympathy,2,7
1377,disheartened,2,7
1378,hopeful,2,7
1379,pensive,2,7
1380,happiness,2,7
1381,relief,2,7
1382,calm,2,7
1383,sad,2,7
1384,wondering,2,7
1385,disgust,2,7
1386,greed,2,7
1387,anger,2,7
1388,irresponsible,2,7
1389,sad,2,7
1390,sad,2,7
1391,anger,2,7
1392,annoyance,2,7
1393,empathetic,2,7
1394,sympathetic,2,7
1395,sad,2,7
1396,annoyed,2,7
1397,sympathy,2,7
1398,unjust,2,7
1399,powerless,2,7
1400,people,1,8
1401,hi-five,1,8
1402,sports,1,8
1403,game,1,8
1404,happy,1,8
1405,missed,1,8
